taxa,latitude,longitude,location
Bird,-37.7829,144.9434,"-37.7829, 144.9434"
Bird,-37.8022,144.9135,"-37.8022, 144.9135"
Bird,-37.8481,144.9805,"-37.8481, 144.9805"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8026,144.9136,"-37.8026, 144.9136"
Bird,-37.8123,144.9358,"-37.8123, 144.9358"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.7822,144.9444,"-37.7822, 144.9444"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Diplopod,-37.7951,144.9758,"-37.7951, 144.9758"
Echinoderm,-37.7928,144.9653,"-37.7928, 144.9653"
Insect,-37.814,144.981,"-37.814, 144.981"
Insect,-37.8387,144.9066,"-37.8387, 144.9066"
Insect,-37.8319,144.9087,"-37.8319, 144.9087"
Mollusc,-37.8292,144.9007,"-37.8292, 144.9007"
Plant,-37.8305,144.9062,"-37.8305, 144.9062"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.802,144.9308,"-37.802, 144.9308"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9802,"-37.813, 144.9802"
Plant,-37.8024,144.9628,"-37.8024, 144.9628"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Bird,-37.8123,144.9358,"-37.8123, 144.9358"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Crustacean,-37.8158,144.9394,"-37.8158, 144.9394"
Insect,-37.813,144.9802,"-37.813, 144.9802"
Insect,-37.813,144.9802,"-37.813, 144.9802"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.8123,144.9358,"-37.8123, 144.9358"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7914,144.9566,"-37.7914, 144.9566"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Bird,-37.7923,144.964,"-37.7923, 144.964"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.824,144.942,"-37.824, 144.942"
Bird,-37.813,144.9802,"-37.813, 144.9802"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.7825,144.9421,"-37.7825, 144.9421"
Bird,-37.813,144.9802,"-37.813, 144.9802"
Bird,-37.8161,144.9805,"-37.8161, 144.9805"
Bird,-37.8413,144.9011,"-37.8413, 144.9011"
Bird,-37.8135,144.9782,"-37.8135, 144.9782"
Bird,-37.7869,144.9172,"-37.7869, 144.9172"
Bird,-37.8413,144.9011,"-37.8413, 144.9011"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7819,144.9426,"-37.7819, 144.9426"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8484,144.9819,"-37.8484, 144.9819"
Bird,-37.8188,144.9743,"-37.8188, 144.9743"
Bird,,,
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Fish,-37.8292,144.9005,"-37.8292, 144.9005"
Insect,-37.7986,144.9324,"-37.7986, 144.9324"
Insect,-37.796,144.962,"-37.796, 144.962"
Insect,-37.8141,144.9747,"-37.8141, 144.9747"
Insect,-37.8043,144.9706,"-37.8043, 144.9706"
Insect,-37.813,144.9802,"-37.813, 144.9802"
Insect,-37.7989,144.9746,"-37.7989, 144.9746"
Insect,-37.813,144.9805,"-37.813, 144.9805"
Insect,-37.8123,144.9358,"-37.8123, 144.9358"
Mammal,-37.7959,144.9355,"-37.7959, 144.9355"
Mammal,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9802,"-37.813, 144.9802"
Plant,-37.8292,144.9007,"-37.8292, 144.9007"
Plant,-37.8387,144.9066,"-37.8387, 144.9066"
Plant,-37.7881,144.9529,"-37.7881, 144.9529"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7833,144.9441,"-37.7833, 144.9441"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Reptile,-37.8021,144.9306,"-37.8021, 144.9306"
Bird,-37.8292,144.9007,"-37.8292, 144.9007"
Bird,-37.8289,144.9812,"-37.8289, 144.9812"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7823,144.9429,"-37.7823, 144.9429"
Bird,-37.834,144.9807,"-37.834, 144.9807"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7831,144.943,"-37.7831, 144.943"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7881,144.9529,"-37.7881, 144.9529"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.7973,144.9359,"-37.7973, 144.9359"
Bird,-37.7866,144.9178,"-37.7866, 144.9178"
Bird,-37.8413,144.9011,"-37.8413, 144.9011"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8158,144.9394,"-37.8158, 144.9394"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8126,144.9712,"-37.8126, 144.9712"
Bird,-37.8044,144.971,"-37.8044, 144.971"
Bird,-37.8097,144.9069,"-37.8097, 144.9069"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7819,144.9439,"-37.7819, 144.9439"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7886,144.9078,"-37.7886, 144.9078"
Insect,-37.7919,144.9572,"-37.7919, 144.9572"
Mammal,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7922,144.9645,"-37.7922, 144.9645"
Bird,-37.8002,144.9361,"-37.8002, 144.9361"
Bird,-37.8094,144.9727,"-37.8094, 144.9727"
Bird,-37.7886,144.9087,"-37.7886, 144.9087"
Bird,-37.7937,144.962,"-37.7937, 144.962"
Bird,-37.7823,144.9429,"-37.7823, 144.9429"
Bird,-37.7805,144.9398,"-37.7805, 144.9398"
Bird,-37.8123,144.9358,"-37.8123, 144.9358"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7911,144.924,"-37.7911, 144.924"
Bird,-37.8498,144.9808,"-37.8498, 144.9808"
Bird,-37.8167,144.9784,"-37.8167, 144.9784"
Cnidaria,-37.8387,144.9066,"-37.8387, 144.9066"
Insect,-37.7918,144.9623,"-37.7918, 144.9623"
Insect,-37.7911,144.924,"-37.7911, 144.924"
Insect,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.7911,144.924,"-37.7911, 144.924"
Plant,-38.1157,145.1698,"-38.1157, 145.1698"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.8458,144.9793,"-37.8458, 144.9793"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.7911,144.924,"-37.7911, 144.924"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Bird,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,-37.813,144.9805,"-37.813, 144.9805"
Fungi,-37.8161,144.9805,"-37.8161, 144.9805"
Insect,-37.7919,144.9572,"-37.7919, 144.9572"
Insect,-37.7871,144.9097,"-37.7871, 144.9097"
Insect,-37.7825,144.942,"-37.7825, 144.942"
Insect,-37.8471,144.9803,"-37.8471, 144.9803"
Mammal,-37.8311,144.9105,"-37.8311, 144.9105"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.813,144.9805,"-37.813, 144.9805"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,-37.7919,144.9572,"-37.7919, 144.9572"
